alpha,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std
5.000000000000000278e-02,1.000000000000000000e+00,5.967228592329745673e+00,2.003964804422604315e-02,7.041724301886239656e-01,7.374413603767853154e-01,4.021098593417546496e+00,3.116811320357250725e+00,6.400000000000003020e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+00,5.980700104425134001e+00,2.533750149894120618e-02,2.352465530430801977e+00,1.114857083246072911e+00,4.801944245136651190e+00,3.421290809959228518e+00,6.400000000000003020e+00,0.000000000000000000e+00
5.000000000000000278e-02,3.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.059999999999999432e+01,-1.000000000000000000e+00
5.000000000000000278e-02,4.000000000000000000e+00,5.973921855823519422e+00,3.670568439188167525e-02,2.580147639708003204e+00,1.004870448792379189e+00,8.507255475236830122e+00,5.856724333575738406e+00,7.000000000000003553e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000000e+00,5.973392793474963547e+00,4.212953430020900669e-02,2.373791307951786056e+00,1.251989943126448068e+00,7.830032152037476045e+00,4.868258454993432238e+00,7.600000000000004086e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.000000000000000000e+00,5.983003344769771914e+00,4.187505498672082493e-02,2.653615528616202646e+00,1.305702538014422931e+00,8.614186222887743938e+00,5.617626758734592052e+00,6.200000000000002842e+00,0.000000000000000000e+00
5.000000000000000278e-02,7.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.199999999999999289e+00,-1.000000000000000000e+00
5.000000000000000278e-02,8.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,9.199999999999999289e+00,-1.000000000000000000e+00
5.000000000000000278e-02,9.000000000000000000e+00,5.977502749917658065e+00,4.561732478595002804e-02,2.597801016503356930e+00,1.234265354106744317e+00,7.061043968460985809e+00,4.976561359654410488e+00,5.800000000000002487e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.000000000000000000e+01,5.971065185339036852e+00,3.288204694703947273e-02,2.145454695761670028e+00,1.106389088009892552e+00,5.702400495064680719e+00,4.323160347449615415e+00,5.600000000000002309e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.100000000000000000e+01,5.959087589520884798e+00,8.526224236735392703e-02,3.690640214023836574e+00,1.551067876685180424e+00,6.781156408518032919e+00,5.043505315851135151e+00,1.039999999999999503e+01,0.000000000000000000e+00
