alpha,beta,solver_type,mc_run,distance_mean,distance_std,distance_max,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.05,0.5,Centralized,1,0.0486189526750754,0.0216603328810262,0.0837150915581546,0.29217943893762244,0.33104945777533046,2.7379008184130607,2.3250953439260433,8.299999999999986,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.4000000000000017,-1.0,0.9606271426563034,0.09388787020682486,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,3,0.04685034318683048,0.024082904167058154,0.09869622430290992,2.5862463246406824,1.3835860801043751,3.395192814636305,2.6947659779271684,8.499999999999986,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,4,0.040892507661792886,0.02455283731181902,0.08635535825045704,2.6418364979483107,1.2998592283510608,3.431187018724404,2.8887839113459743,9.199999999999983,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.012126216687386004,1.0
0.05,0.5,Centralized,5,0.04449693404608828,0.024633874271201384,0.09008300597627095,2.4455659156164646,1.3503613653397812,4.001639738224911,3.302380528670888,8.799999999999985,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,6,0.05148960292859346,0.025928567278503945,0.10146455137950738,2.8147811799670426,1.2336708825808995,3.8284737539545306,3.1661924914103268,9.699999999999982,0.0,0.9999850555981682,0.00014718528857338443,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.100000000000001,-1.0,0.8990114790207767,0.15072996078320802,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.020099176004400643,1.0
0.05,0.5,Centralized,8,0.04554208022039765,0.02909465718678795,0.10096120128937258,2.679048282908736,1.3697655187419489,4.279997620267486,4.065920933079752,9.099999999999984,0.0,0.999987533746272,0.00010130092449297388,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.004342551070242673,1.0
0.05,0.5,Centralized,9,0.05289207605320089,0.028126160321279726,0.10538451512933644,2.48730306570971,1.158824143542366,4.605377966369121,4.027049462275901,8.099999999999987,0.0,0.9999059825146644,0.0006408210093378129,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.00628404635019697,1.0
0.05,0.5,Centralized,10,0.03342712808467613,0.022281637847497527,0.08598093752994362,2.32027457444608,1.1888427682495974,2.581883715286041,2.8296843940236887,8.599999999999985,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,200.0,1.5707963267948966,-1.5,6.5,-3.6213203435596424,4.378679656440358,8.0,2.0,0.0045727431532257,1.0
