alpha,beta,solver_type,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.05,0.5,Centralized,1,2.9796552554508517,0.06227620367510987,0.5477163033001319,0.49810050680066614,2.982103210335032,2.8216738335945117,8.099999999999987,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0024855992341901167,1.0
0.05,0.5,Centralized,2,2.975887360661165,0.03791616315306001,1.7593087713250122,0.8999760544185753,3.3055707150842797,2.813192028510306,6.999999999999991,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.005027879385592404,1.0
0.05,0.5,Centralized,3,2.9790150185740982,0.049620159779447885,1.8126549710019362,1.0351984520916544,3.731805239118443,3.1817018062554268,7.599999999999989,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,4,2.9693534835013904,0.057318915185522484,1.759435565392548,0.8341687418893892,4.26331095860934,3.379711826567574,8.299999999999986,0.0,0.9999259654198266,0.0005382361777946697,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,5,2.974418992463712,0.053447698300170286,1.7116463107583115,0.8919644116330462,3.928088687348179,3.471266434948674,7.999999999999988,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,6,2.988580373254816,0.04357820596245148,1.9160045059977833,0.8709367368030831,3.239173351484298,2.880607804824794,7.599999999999989,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.006138125763733515,1.0
0.05,0.5,Centralized,7,2.966372909244577,0.05198756273717313,1.8772542654183904,1.051780313224556,3.6397941467461936,3.459924655439446,8.199999999999987,0.0,0.9997409366238417,0.0009969065179636916,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.02946418150238056,1.0
0.05,0.5,Centralized,8,3.0052871124156093,0.07003746421176127,2.1683004704176407,1.1988151643717666,4.551181213475811,4.344479272725835,9.799999999999981,0.0,0.9989443023362296,0.0037849034527304678,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.09239157856388991,1.0
0.05,0.5,Centralized,9,2.979285898572804,0.03514334494056009,1.5836568188017002,0.8552155271554893,3.2251919317367808,2.7143005460422174,6.499999999999993,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,1.0
0.05,0.5,Centralized,10,2.9771945713950068,0.03815883663260459,1.545157835568836,0.7512461499324794,3.3489688068268917,2.872300716037367,6.799999999999992,0.0,1.0,0.0,10,0.1,0.1,5.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.01372500969853302,1.0
