alpha,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std
5.000000000000000278e-02,1.000000000000000000e+00,6.990552220036327036e+00,1.595207832923426633e-02,7.125745520256808740e-01,5.979186978690997911e-01,4.270427907168341086e+00,3.070468121517309079e+00,8.099999999999987210e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.000000000000000000e+00,6.997540931769020034e+00,1.659091199433113464e-02,2.121041895609562911e+00,1.131963490576681552e+00,5.227910634775428278e+00,3.760685558627077985e+00,6.999999999999991118e+00,0.000000000000000000e+00
5.000000000000000278e-02,3.000000000000000000e+00,6.993833739474019318e+00,1.686502490541141527e-02,1.969659142978216426e+00,1.285990860268624525e+00,5.723865295070138082e+00,3.537011830039157090e+00,6.999999999999991118e+00,0.000000000000000000e+00
5.000000000000000278e-02,4.000000000000000000e+00,6.994643646748081700e+00,2.017999801787252745e-02,2.110290508818368327e+00,1.168414837235485892e+00,6.286791826617253776e+00,4.752372730071958706e+00,6.999999999999991118e+00,0.000000000000000000e+00
5.000000000000000278e-02,5.000000000000000000e+00,6.992888736562972163e+00,1.677405869771857877e-02,2.026277526944388452e+00,1.206681484413693051e+00,6.384980608886659859e+00,4.447131192385016973e+00,8.099999999999987210e+00,0.000000000000000000e+00
5.000000000000000278e-02,6.000000000000000000e+00,6.996283245688367458e+00,1.743472191368972135e-02,2.200860080133028251e+00,1.159917434555315374e+00,5.236332154968865282e+00,3.790439206731592847e+00,8.299999999999986500e+00,0.000000000000000000e+00
5.000000000000000278e-02,7.000000000000000000e+00,6.989736444173445307e+00,1.692281729066051968e-02,2.048738903167676373e+00,1.272910386972563090e+00,6.005900737559848324e+00,3.850096639442344149e+00,7.799999999999988276e+00,0.000000000000000000e+00
5.000000000000000278e-02,8.000000000000000000e+00,6.991817478299769739e+00,1.829440657186313587e-02,2.006366632782668802e+00,1.231746107634564158e+00,6.234064725985289712e+00,4.066246129299781131e+00,7.899999999999987921e+00,0.000000000000000000e+00
5.000000000000000278e-02,9.000000000000000000e+00,6.999564739906698030e+00,1.611295766673242688e-02,1.888892092524178556e+00,1.082906796677679750e+00,5.869820723057086020e+00,3.672593212047865929e+00,6.499999999999992895e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.000000000000000000e+01,6.996455732559900831e+00,1.689738804170538844e-02,1.816060348710612171e+00,1.004342621411966618e+00,5.486688287352208704e+00,3.406823000125549950e+00,6.799999999999991829e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.100000000000000000e+01,6.993539558364843423e+00,1.988301066984253171e-02,2.122595040150520695e+00,1.218071071012493567e+00,5.944557756087483824e+00,3.947464451803986307e+00,6.799999999999991829e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.200000000000000000e+01,6.993290822541033513e+00,1.651614166165653319e-02,1.966025514025370402e+00,1.109150614504405219e+00,5.733878814918791811e+00,3.708943258125946940e+00,8.299999999999986500e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.300000000000000000e+01,6.993142848272998258e+00,1.693073388141766444e-02,1.832978460414038224e+00,1.227358781332672288e+00,5.279793826998204764e+00,3.793437516241047192e+00,7.899999999999987921e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.400000000000000000e+01,6.993355072956109808e+00,1.949887550450597404e-02,2.022186064930916238e+00,1.280496381281063689e+00,5.774899804083438504e+00,3.944344342650995650e+00,7.599999999999988987e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.500000000000000000e+01,6.992369260939583775e+00,1.893243812812858695e-02,2.221388468282304629e+00,1.288237672633305131e+00,6.438697321891450720e+00,3.880603742135624312e+00,7.499999999999989342e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.600000000000000000e+01,6.994366089932178454e+00,1.757941391604446804e-02,2.070683351108384862e+00,1.131592541584033995e+00,6.061684072948569479e+00,3.908140796837050956e+00,6.899999999999991473e+00,0.000000000000000000e+00
5.000000000000000278e-02,1.700000000000000000e+01,6.997271429186854519e+00,1.821515507785024038e-02,1.954139143070603657e+00,1.240710613102160353e+00,5.668755088922215357e+00,4.131117129356311146e+00,6.999999999999991118e+00,0.000000000000000000e+00
