alpha,beta,solver_type,mc_run,distance_mean,distance_std,a1_acc_mean,a1_acc_std,a2_acc_mean,a2_acc_std,scenario_time,scenario_time_std,confidence_mean,confidence_std,N,dt_Solver,dt_Sim,a1_acc_limit,Human_PreDefined_Traj,Human_RandomWalk_Traj,d_init,Tf,pp_theta,pp_factor,Nmc,theta_des,x1_init_x,x1_init_y,x2_init_x,x2_init_y,x1_des_x,x1_des_y,max_payload_penetration,num_obstacles
0.05,0.5,Centralized,1,3.0072452237920935,0.053512938436668156,0.40089809710992336,0.5134841017838583,1.9382873780917853,2.4217092563653955,6.699999999999992,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,2,3.0147410779107657,0.04365302313376863,1.7715074718982131,0.9350520820464477,2.1568228150269357,2.4584082317255493,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,3,3.007260664159614,0.05147085007014499,1.7287443671185656,1.0135415455128243,3.1982994842281367,2.5448621431792313,6.999999999999991,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,4,3.003301982201141,0.04797778928132784,1.7716912760733927,0.8045511953094857,2.9204576665470263,2.6338393922832006,6.799999999999992,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,5,3.00078558760866,0.053874367313962314,1.673217109640327,0.9416880585090005,2.87571633265709,2.533412225558155,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,6,3.01749037202342,0.04357433361067563,1.9059756150001865,0.8999959637386243,2.8823956139637943,2.7916058644532553,7.29999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,7,2.982015145442144,0.04748527986269806,1.729963519694007,1.0612134363173817,2.999915550761689,2.8079140545260417,6.299999999999994,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,8,2.9880347984606983,0.04898049477321698,1.8363681685167763,0.9305558590816413,2.9519825127135007,2.9075620109686544,6.499999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,9,2.995949777425679,0.04334353812457871,1.5809010851096623,0.8613674890496076,2.1890882281518214,2.3307672714049392,6.399999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,10,3.000857709879605,0.04841389690752277,1.510534912002406,0.7408155706504159,2.6503874937805314,2.5123171156953634,6.499999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,11,2.9938227243179187,0.05088118383446762,1.7507929059787344,1.0458575642762264,3.118484465979932,2.7086819023376902,6.5999999999999925,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,12,3.012548482440255,0.04738926837312814,1.6699099972235298,0.8516229531355515,2.412443940431023,2.4015794033217652,7.29999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,13,3.0040762565338475,0.052922110849715015,1.5503925571052701,0.9719644277190096,2.6405524167235,2.470411261366556,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,14,3.0270668603240805,0.038843564136083385,1.6973725305138556,0.935738021865844,2.518309896141565,2.5285799448489668,7.19999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,15,3.0084211278352555,0.047903998304822136,1.8720991579441586,1.0206744685295683,2.831877531790785,2.57965076575526,7.29999999999999,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,16,3.0016899089518763,0.04857582254382399,1.7640888625743414,0.9922345438359652,2.7056932020601616,2.6006717282332454,6.799999999999992,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,17,3.0100233127277454,0.043585437840049014,1.6250929543512604,0.9040255792673462,2.1146682293225987,2.454745180137513,6.8999999999999915,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,18,2.9889214125347787,0.042754654729543116,1.789938047231619,0.8877647022460818,2.8463883246721466,2.8883718277138555,6.199999999999994,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,19,3.0060232642156697,0.040220505695622286,1.811983041416632,0.8727283531220861,2.302441022294102,2.30491661054927,6.5999999999999925,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
0.05,0.5,Centralized,20,2.9969393947178884,0.04916456086477161,1.8340876655955574,0.9439421250101322,2.613547817794428,2.4978475110542955,6.499999999999993,0.0,1.0,0.0,10,0.1,0.1,10.0,1.0,0.0,2.9999999999999996,10.0,3.141592653589793,0.5,100.0,1.5707963267948966,-1.5,6.5,-3.621320343559643,4.378679656440358,8.0,2.0,0.0,0.0
